,Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
104,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,200x300-300x200,1.0,0.341 m²,0.000 m²,Equal Taper,,
105,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x200-200x200,1.0,0.276 m²,0.000 m²,Flat on Top and Bottom,,
106,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x200-300x150,1.0,0.296 m²,0.000 m²,Equal Taper,,
107,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x250-200x200,1.0,0.300 m²,0.000 m²,Equal Taper,,
108,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x250-200x250,1.0,0.320 m²,0.000 m²,Flat on Top and Bottom,,
109,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x300-200x300,1.0,0.364 m²,0.000 m²,Flat on Top and Bottom,,
110,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x300-300x250,1.0,0.396 m²,0.000 m²,Equal Taper,,
111,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,250x300-450x150,1.0,0.418 m²,0.000 m²,Flat on Bottom,,
112,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x250-250x250,2.0,0.745 m²,0.000 m²,Flat on Top and Bottom,,
113,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x250-400x150,1.0,0.394 m²,0.000 m²,Equal Taper,,
114,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x300-250x250,1.0,0.400 m²,0.000 m²,Equal Taper,,
115,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x300-250x300,5.0,2.115 m²,0.000 m²,,,
116,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x350-300x250,2.0,0.909 m²,0.000 m²,,,
117,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,300x400-200x400,1.0,0.490 m²,0.000 m²,"Flat on Top, Bottom, Right",,
118,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,350x300-250x300,1.0,0.453 m²,0.000 m²,Flat on Top and Bottom,,
119,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,350x350-350x200,2.0,0.983 m²,0.000 m²,"Flat on Right, Left, Bottom",,
120,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x150-300x200,1.0,0.359 m²,0.000 m²,Equal Taper,,
121,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x200-300x200,1.0,0.392 m²,0.000 m²,Flat on Top and Bottom,,
122,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x200-300x250,1.0,0.419 m²,0.000 m²,Equal Taper,,
123,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x200-400x150,1.0,0.404 m²,0.000 m²,Flat on Right and Left,,
124,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x250-300x250,3.0,1.354 m²,0.000 m²,Flat on Top and Bottom,,
125,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x250-400x200,1.0,0.470 m²,0.000 m²,"Flat on Right, Left, Top",,
126,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-300x300,1.0,0.511 m²,0.000 m²,Flat on Top and Bottom,,
127,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x300-400x150,1.0,0.483 m²,0.000 m²,"Flat on Right, Left, Bottom",,
128,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-250x200,1.0,0.471 m²,0.000 m²,Equal Taper,,
129,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-250x350,1.0,0.540 m²,0.000 m²,Flat on Top and Bottom,,
130,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-800x150,1.0,0.679 m²,0.000 m²,Equal Taper,,
131,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x400-300x400,1.0,0.632 m²,0.000 m²,"Flat on Top, Bottom, Right",,
132,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x200-400x200,5.0,2.301 m²,0.000 m²,,,
133,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x250-250x250,3.0,1.368 m²,0.000 m²,"Flat on Top, Bottom, Left",,
134,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x250-300x250,1.0,0.479 m²,0.000 m²,Flat on Top and Bottom,,
135,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,450x250-350x250,1.0,0.504 m²,0.000 m²,Flat on Top and Bottom,,
136,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x200-400x200,1.0,0.484 m²,0.000 m²,Flat on Top and Bottom,,
137,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x250-400x250,3.0,1.668 m²,0.000 m²,Flat on Top and Bottom,,
138,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x250-800x150,1.0,0.655 m²,0.000 m²,Equal Taper,,
139,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x350-300x350,1.0,0.639 m²,0.000 m²,Flat on Top and Bottom,,
140,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,500x400-300x350,1.0,0.679 m²,0.000 m²,Equal Taper,,
